data,value
jun/2000,0
jul/2000,0
ago/2000,0
set/2000,0
out/2000,0
nov/2000,0
dez/2000,0
jan/2001,0
fev/2001,0
mar/2001,0
abr/2001,0
mai/2001,0
jun/2001,0
jul/2001,0
ago/2001,0
set/2001,0
out/2001,0
nov/2001,0
dez/2001,0
jan/2002,0
fev/2002,0
mar/2002,0
abr/2002,0
mai/2002,0
jun/2002,0
jul/2002,0
ago/2002,0
set/2002,0
out/2002,0
nov/2002,0
dez/2002,0
jan/2003,0
fev/2003,0
mar/2003,0
abr/2003,0
mai/2003,0
jun/2003,0
jul/2003,0
ago/2003,0
set/2003,0
out/2003,0
nov/2003,0
dez/2003,0
jan/2004,0
fev/2004,0
mar/2004,0
abr/2004,0
mai/2004,0
jun/2004,0
jul/2004,0
ago/2004,0
set/2004,0
out/2004,0
nov/2004,0
dez/2004,0
jan/2005,0
fev/2005,0
mar/2005,0
abr/2005,0
mai/2005,0
jun/2005,0
jul/2005,0
ago/2005,0
set/2005,0
out/2005,0
nov/2005,0
dez/2005,0
jan/2006,0
fev/2006,0
mar/2006,0
abr/2006,0
mai/2006,0
jun/2006,0
jul/2006,0
ago/2006,0
set/2006,0
out/2006,0
nov/2006,0
dez/2006,0
jan/2007,0
fev/2007,0
mar/2007,7152
abr/2007,7217
mai/2007,7141
jun/2007,7262
jul/2007,7463
ago/2007,7536
set/2007,7759
out/2007,8056
nov/2007,8184
dez/2007,8252
jan/2008,8242
fev/2008,8332
mar/2008,8437
abr/2008,8546
mai/2008,8647
jun/2008,8843
jul/2008,8915
ago/2008,9074
set/2008,8931
out/2008,9104
nov/2008,8952
dez/2008,8656
jan/2009,8624
fev/2009,9142
mar/2009,8670
abr/2009,8697
mai/2009,8862
jun/2009,9051
jul/2009,9132
ago/2009,9188
set/2009,9193
out/2009,9743
nov/2009,10027
dez/2009,10024
jan/2010,9938
fev/2010,10221
mar/2010,10788
abr/2010,11107
mai/2010,10902
jun/2010,11378
jul/2010,11747
ago/2010,12152
set/2010,12820
out/2010,13076
nov/2010,12916
dez/2010,13385
jan/2011,13385
fev/2011,13853
mar/2011,14379
abr/2011,14853
mai/2011,15324
jun/2011,15939
jul/2011,16521
ago/2011,17219
set/2011,17864
out/2011,18283
nov/2011,18900
dez/2011,19298
jan/2012,19586
fev/2012,19867
mar/2012,20296
abr/2012,20570
mai/2012,20711
jun/2012,20876
jul/2012,20902
ago/2012,21082
set/2012,21202
out/2012,21186
nov/2012,21186
dez/2012,21261
jan/2013,20990
fev/2013,20827
mar/2013,20785
abr/2013,20750
mai/2013,20768
jun/2013,20750
jul/2013,20707
ago/2013,20553
set/2013,20508
out/2013,20450
nov/2013,20341
dez/2013,20091
jan/2014,19734
fev/2014,19611
mar/2014,19506
abr/2014,19264
mai/2014,19229
jun/2014,19106
jul/2014,18861
ago/2014,18875
set/2014,18814
out/2014,19062
nov/2014,18832
dez/2014,18784
jan/2015,18534
fev/2015,18272
mar/2015,18038
abr/2015,17897
mai/2015,17713
jun/2015,17458
jul/2015,17275
ago/2015,17153
set/2015,16996
out/2015,16838
nov/2015,16647
dez/2015,16486
jan/2016,16226
fev/2016,15956
mar/2016,15745
abr/2016,15577
mai/2016,15329
jun/2016,15167
jul/2016,15181
ago/2016,15146
set/2016,15073
out/2016,14897
nov/2016,14784
dez/2016,14830
jan/2017,14606
fev/2017,14653
mar/2017,14612
abr/2017,14704
mai/2017,14818
jun/2017,14930
jul/2017,15039
ago/2017,15361
set/2017,15717
out/2017,16103
nov/2017,16569
dez/2017,17175
jan/2018,17517
fev/2018,17963
mar/2018,18883
abr/2018,19792
mai/2018,20616
jun/2018,21283
jul/2018,22101
ago/2018,23323
set/2018,24367
out/2018,25437
nov/2018,26586
dez/2018,27944
jan/2019,28526
fev/2019,29742
mar/2019,31318
abr/2019,33099
mai/2019,35105
jun/2019,36885
jul/2019,38495
ago/2019,40693
set/2019,42644
out/2019,45488
nov/2019,47874
dez/2019,50062
jan/2020,51189
fev/2020,52608
mar/2020,54261
abr/2020,53517
mai/2020,54352
jun/2020,53915
jul/2020,54926
ago/2020,55822
set/2020,57035
out/2020,58142
nov/2020,59840
dez/2020,62008
jan/2021,62485
fev/2021,64083
mar/2021,66615
abr/2021,68791
mai/2021,71670
jun/2021,74481
jul/2021,77223
ago/2021,80545
set/2021,83348
out/2021,86010
nov/2021,87807
dez/2021,90777
jan/2022,91551
fev/2022,93545
mar/2022,94988
abr/2022,96433
mai/2022,98290
jun/2022,100180
jul/2022,102584
ago/2022,105023
set/2022,107697
out/2022,109702
nov/2022,111329
dez/2022,113739
jan/2023,114223
fev/2023,114579
mar/2023,115905
abr/2023,116772
mai/2023,117156
jun/2023,117864
jul/2023,118580
ago/2023,120094
set/2023,121683
out/2023,122933
nov/2023,124178
dez/2023,126117
jan/2024,125245
fev/2024,125717
mar/2024,127322
abr/2024,128120
mai/2024,129036
jun/2024,130434
jul/2024,131426
ago/2024,133536
set/2024,135808
out/2024,137329
nov/2024,138719
dez/2024,140026
jan/2025,139882
fev/2025,139528
mar/2025,139673
abr/2025,139918
mai/2025,139301
jun/2025,140630
jul/2025,140691
ago/2025,140003
set/2025,141540
out/2025,141528
nov/2025,142795
dez/2025,142510
jan/2026,141853
fev/2026,141141
mar/2026,139349
abr/2026,138722
mai/2026,138048
