data,value
jun/2000,0
jul/2000,0
ago/2000,0
set/2000,0
out/2000,0
nov/2000,0
dez/2000,0
jan/2001,0
fev/2001,0
mar/2001,0
abr/2001,0
mai/2001,0
jun/2001,0
jul/2001,0
ago/2001,0
set/2001,0
out/2001,0
nov/2001,0
dez/2001,0
jan/2002,0
fev/2002,0
mar/2002,0
abr/2002,0
mai/2002,0
jun/2002,0
jul/2002,0
ago/2002,0
set/2002,0
out/2002,0
nov/2002,0
dez/2002,0
jan/2003,0
fev/2003,0
mar/2003,0
abr/2003,0
mai/2003,0
jun/2003,0
jul/2003,0
ago/2003,0
set/2003,0
out/2003,0
nov/2003,0
dez/2003,0
jan/2004,0
fev/2004,0
mar/2004,0
abr/2004,0
mai/2004,0
jun/2004,0
jul/2004,0
ago/2004,0
set/2004,0
out/2004,0
nov/2004,0
dez/2004,0
jan/2005,0
fev/2005,0
mar/2005,0
abr/2005,0
mai/2005,0
jun/2005,0
jul/2005,0
ago/2005,0
set/2005,0
out/2005,0
nov/2005,0
dez/2005,0
jan/2006,0
fev/2006,0
mar/2006,0
abr/2006,0
mai/2006,0
jun/2006,0
jul/2006,0
ago/2006,0
set/2006,0
out/2006,0
nov/2006,0
dez/2006,0
jan/2007,0
fev/2007,0
mar/2007,0
abr/2007,0
mai/2007,0
jun/2007,0
jul/2007,0
ago/2007,0
set/2007,0
out/2007,0
nov/2007,0
dez/2007,0
jan/2008,0
fev/2008,0
mar/2008,0
abr/2008,0
mai/2008,0
jun/2008,0
jul/2008,0
ago/2008,0
set/2008,0
out/2008,0
nov/2008,0
dez/2008,0
jan/2009,0
fev/2009,0
mar/2009,0
abr/2009,0
mai/2009,0
jun/2009,0
jul/2009,0
ago/2009,0
set/2009,0
out/2009,0
nov/2009,0
dez/2009,0
jan/2010,0
fev/2010,0
mar/2010,0
abr/2010,0
mai/2010,0
jun/2010,0
jul/2010,0
ago/2010,0
set/2010,0
out/2010,0
nov/2010,0
dez/2010,0
jan/2011,0
fev/2011,0
mar/2011,8276
abr/2011,7837
mai/2011,8691
jun/2011,8193
jul/2011,8080
ago/2011,9305
set/2011,8869
out/2011,8241
nov/2011,8878
dez/2011,9289
jan/2012,7638
fev/2012,6765
mar/2012,7719
abr/2012,6651
mai/2012,7411
jun/2012,8416
jul/2012,8269
ago/2012,9456
set/2012,6312
out/2012,8198
nov/2012,7605
dez/2012,8409
jan/2013,7715
fev/2013,6466
mar/2013,7093
abr/2013,7663
mai/2013,7444
jun/2013,6958
jul/2013,7869
ago/2013,8265
set/2013,7663
out/2013,8668
nov/2013,8185
dez/2013,9462
jan/2014,8408
fev/2014,7228
mar/2014,6654
abr/2014,7589
mai/2014,7694
jun/2014,6853
jul/2014,7887
ago/2014,7664
set/2014,8502
out/2014,8654
nov/2014,8138
dez/2014,10125
jan/2015,7797
fev/2015,5961
mar/2015,7321
abr/2015,6537
mai/2015,6404
jun/2015,6703
jul/2015,6998
ago/2015,6403
set/2015,6226
out/2015,5943
nov/2015,6154
dez/2015,7098
jan/2016,5520
fev/2016,5199
mar/2016,5988
abr/2016,5270
mai/2016,5607
jun/2016,5891
jul/2016,5858
ago/2016,6378
set/2016,5837
out/2016,5991
nov/2016,6634
dez/2016,7231
jan/2017,6662
fev/2017,5772
mar/2017,7417
abr/2017,5909
mai/2017,7280
jun/2017,7010
jul/2017,7136
ago/2017,8110
set/2017,7274
out/2017,8021
nov/2017,8218
dez/2017,8483
jan/2018,8552
fev/2018,6926
mar/2018,8606
abr/2018,8462
mai/2018,8260
jun/2018,7452
jul/2018,8353
ago/2018,9419
set/2018,8037
out/2018,9386
nov/2018,9510
dez/2018,9540
jan/2019,9663
fev/2019,9006
mar/2019,8586
abr/2019,9823
mai/2019,10196
jun/2019,9118
jul/2019,11207
ago/2019,10921
set/2019,10534
out/2019,11652
nov/2019,11134
dez/2019,12133
jan/2020,11413
fev/2020,9399
mar/2020,8649
abr/2020,4338
mai/2020,6259
jun/2020,9096
jul/2020,10698
ago/2020,10819
set/2020,11951
out/2020,12272
nov/2020,12707
dez/2020,13915
jan/2021,10355
fev/2021,10932
mar/2021,11186
abr/2021,11058
mai/2021,11703
jun/2021,12581
jul/2021,13128
ago/2021,13319
set/2021,12141
out/2021,11747
nov/2021,11432
dez/2021,12443
jan/2022,10507
fev/2022,10357
mar/2022,11750
abr/2022,10565
mai/2022,12209
jun/2022,11584
jul/2022,10935
ago/2022,12577
set/2022,11922
out/2022,11589
nov/2022,11617
dez/2022,12034
jan/2023,11602
fev/2023,9954
mar/2023,13067
abr/2023,10451
mai/2023,12677
jun/2023,12703
jul/2023,13259
ago/2023,14493
set/2023,13191
out/2023,14504
nov/2023,15080
dez/2023,16398
jan/2024,16385
fev/2024,14721
mar/2024,15874
abr/2024,17688
mai/2024,16983
jun/2024,16826
jul/2024,19255
ago/2024,18244
set/2024,18129
out/2024,19929
nov/2024,18149
dez/2024,18610
jan/2025,16649
fev/2025,16000
mar/2025,15658
abr/2025,16550
mai/2025,17520
jun/2025,17244
jul/2025,19470
ago/2025,18489
set/2025,20498
out/2025,21748
nov/2025,19736
dez/2025,23105
jan/2026,19917
fev/2026,18412
mar/2026,22733
abr/2026,21129
mai/2026,20278
