data,value
jun/2000,0
jul/2000,0
ago/2000,0
set/2000,0
out/2000,0
nov/2000,0
dez/2000,0
jan/2001,0
fev/2001,0
mar/2001,0
abr/2001,0
mai/2001,0
jun/2001,0
jul/2001,0
ago/2001,0
set/2001,0
out/2001,0
nov/2001,0
dez/2001,0
jan/2002,0
fev/2002,0
mar/2002,0
abr/2002,0
mai/2002,0
jun/2002,0
jul/2002,0
ago/2002,0
set/2002,0
out/2002,0
nov/2002,0
dez/2002,0
jan/2003,0
fev/2003,0
mar/2003,0
abr/2003,0
mai/2003,0
jun/2003,0
jul/2003,0
ago/2003,0
set/2003,0
out/2003,0
nov/2003,0
dez/2003,0
jan/2004,0
fev/2004,0
mar/2004,0
abr/2004,0
mai/2004,0
jun/2004,0
jul/2004,0
ago/2004,0
set/2004,0
out/2004,0
nov/2004,0
dez/2004,0
jan/2005,0
fev/2005,0
mar/2005,0
abr/2005,0
mai/2005,0
jun/2005,0
jul/2005,0
ago/2005,0
set/2005,0
out/2005,0
nov/2005,0
dez/2005,0
jan/2006,0
fev/2006,0
mar/2006,0
abr/2006,0
mai/2006,0
jun/2006,0
jul/2006,0
ago/2006,0
set/2006,0
out/2006,0
nov/2006,0
dez/2006,0
jan/2007,0
fev/2007,0
mar/2007,0
abr/2007,0
mai/2007,0
jun/2007,0
jul/2007,0
ago/2007,0
set/2007,0
out/2007,0
nov/2007,0
dez/2007,0
jan/2008,0
fev/2008,0
mar/2008,0
abr/2008,0
mai/2008,0
jun/2008,0
jul/2008,0
ago/2008,0
set/2008,0
out/2008,0
nov/2008,0
dez/2008,0
jan/2009,0
fev/2009,0
mar/2009,0
abr/2009,0
mai/2009,0
jun/2009,0
jul/2009,0
ago/2009,0
set/2009,0
out/2009,0
nov/2009,0
dez/2009,0
jan/2010,0
fev/2010,0
mar/2010,0
abr/2010,0
mai/2010,0
jun/2010,0
jul/2010,0
ago/2010,0
set/2010,0
out/2010,0
nov/2010,0
dez/2010,0
jan/2011,0
fev/2011,0
mar/2011,21.13
abr/2011,21.41
mai/2011,21.14
jun/2011,20.82
jul/2011,21.04
ago/2011,20.70
set/2011,20.17
out/2011,20.35
nov/2011,19.18
dez/2011,17.92
jan/2012,18.82
fev/2012,19.15
mar/2012,18.64
abr/2012,18.67
mai/2012,17.75
jun/2012,16.70
jul/2012,16.69
ago/2012,16.76
set/2012,16.11
out/2012,16.39
nov/2012,15.52
dez/2012,15.67
jan/2013,16.36
fev/2013,16.46
mar/2013,16.41
abr/2013,16.30
mai/2013,16.37
jun/2013,16.72
jul/2013,16.95
ago/2013,17.82
set/2013,18.11
out/2013,18.07
nov/2013,18.06
