data,value
jun/2000,35.54
jul/2000,35.95
ago/2000,34.79
set/2000,35.22
out/2000,34.24
nov/2000,34.30
dez/2000,35.05
jan/2001,34.93
fev/2001,34.45
mar/2001,33.64
abr/2001,36.17
mai/2001,37.42
jun/2001,38.61
jul/2001,41.95
ago/2001,44.32
set/2001,44.32
out/2001,45.69
nov/2001,40.35
dez/2001,38.24
jan/2002,41.94
fev/2002,41.94
mar/2002,40.76
abr/2002,37.10
mai/2002,38.86
jun/2002,42.71
jul/2002,50.38
ago/2002,50.02
set/2002,47.37
out/2002,52.98
nov/2002,54.94
dez/2002,55.53
jan/2003,53.85
fev/2003,53.19
mar/2003,53.46
abr/2003,50.31
mai/2003,47.44
jun/2003,45.09
jul/2003,42.94
ago/2003,41.36
set/2003,38.78
out/2003,37.30
nov/2003,36.55
dez/2003,36.85
jan/2004,36.13
fev/2004,35.66
mar/2004,35.08
abr/2004,34.96
mai/2004,35.29
jun/2004,36.32
jul/2004,36.10
ago/2004,36.34
set/2004,35.73
out/2004,35.55
nov/2004,35.63
dez/2004,35.63
jan/2005,36.52
fev/2005,36.18
mar/2005,36.65
abr/2005,36.95
mai/2005,37.42
jun/2005,36.91
jul/2005,36.14
ago/2005,35.66
set/2005,35.88
out/2005,35.59
nov/2005,34.89
dez/2005,34.80
jan/2006,35.27
fev/2006,35.18
mar/2006,34.43
abr/2006,34.09
mai/2006,33.34
jun/2006,33.25
jul/2006,32.58
ago/2006,32.90
set/2006,32.99
out/2006,32.98
nov/2006,33.09
dez/2006,32.32
jan/2007,32.68
fev/2007,32.00
mar/2007,31.21
abr/2007,30.48
mai/2007,29.80
jun/2007,29.43
jul/2007,28.66
ago/2007,28.68
set/2007,28.63
out/2007,28.44
nov/2007,28.53
dez/2007,28.76
jan/2008,31.22
fev/2008,31.24
mar/2008,30.08
abr/2008,29.81
mai/2008,30.61
jun/2008,31.09
jul/2008,33.46
ago/2008,33.34
set/2008,33.05
out/2008,34.15
nov/2008,37.71
dez/2008,36.51
jan/2009,34.66
fev/2009,31.75
mar/2009,29.67
abr/2009,29.88
mai/2009,29.15
jun/2009,26.85
jul/2009,26.92
ago/2009,26.21
set/2009,24.94
out/2009,25.56
nov/2009,25.30
dez/2009,25.37
jan/2010,25.22
fev/2010,24.12
mar/2010,23.51
abr/2010,23.53
mai/2010,24.82
jun/2010,23.61
jul/2010,23.96
ago/2010,23.44
set/2010,23.33
out/2010,23.54
nov/2010,22.76
dez/2010,25.19
jan/2011,27.15
fev/2011,27.34
mar/2011,27.95
abr/2011,28.44
mai/2011,28.33
jun/2011,28.05
jul/2011,28.02
ago/2011,27.36
set/2011,26.23
out/2011,26.20
nov/2011,25.92
dez/2011,25.26
jan/2012,25.49
fev/2012,25.58
mar/2012,25.41
abr/2012,24.75
mai/2012,22.57
jun/2012,20.23
jul/2012,20.70
ago/2012,20.31
set/2012,21.09
out/2012,20.51
nov/2012,20.47
dez/2012,19.75
jan/2013,20.53
fev/2013,20.71
mar/2013,19.73
abr/2013,19.92
mai/2013,19.73
jun/2013,19.47
jul/2013,20.28
ago/2013,21.24
set/2013,21.60
out/2013,20.83
nov/2013,21.28
dez/2013,21.29
jan/2014,22.74
fev/2014,23.85
mar/2014,23.54
abr/2014,22.62
mai/2014,22.99
jun/2014,23.02
jul/2014,23.14
ago/2014,23.23
set/2014,22.78
out/2014,23.04
nov/2014,22.67
dez/2014,22.34
jan/2015,23.84
fev/2015,24.76
mar/2015,24.67
abr/2015,24.55
mai/2015,24.81
jun/2015,24.71
jul/2015,24.50
ago/2015,24.79
set/2015,25.57
out/2015,25.89
nov/2015,26.18
dez/2015,26.01
jan/2016,27.48
fev/2016,27.56
mar/2016,27.01
abr/2016,26.77
mai/2016,26.33
jun/2016,25.97
jul/2016,25.99
ago/2016,26.17
set/2016,26.13
out/2016,25.75
nov/2016,25.85
dez/2016,25.70
jan/2017,26.18
fev/2017,25.71
mar/2017,24.80
abr/2017,24.39
mai/2017,24.25
jun/2017,24.03
jul/2017,23.79
ago/2017,23.22
set/2017,22.96
out/2017,22.51
nov/2017,22.14
dez/2017,22.23
jan/2018,22.74
fev/2018,22.47
mar/2018,21.75
abr/2018,21.53
mai/2018,21.49
jun/2018,21.96
jul/2018,22.34
ago/2018,22.17
set/2018,22.17
out/2018,22.36
nov/2018,21.68
dez/2018,21.68
jan/2019,22.36
fev/2019,22.01
mar/2019,21.38
abr/2019,21.26
mai/2019,21.10
jun/2019,20.80
jul/2019,20.34
ago/2019,20.10
set/2019,19.79
out/2019,19.65
nov/2019,19.29
dez/2019,19.15
jan/2020,19.73
fev/2020,19.40
mar/2020,19.76
abr/2020,20.38
mai/2020,19.46
jun/2020,18.99
jul/2020,18.88
ago/2020,18.88
set/2020,18.56
out/2020,18.88
nov/2020,18.97
dez/2020,19.20
jan/2021,20.21
fev/2021,19.96
mar/2021,20.64
abr/2021,21.31
mai/2021,21.29
jun/2021,21.59
jul/2021,21.94
ago/2021,22.65
set/2021,23.90
out/2021,24.81
nov/2021,27.45
dez/2021,26.79
jan/2022,26.87
fev/2022,26.46
mar/2022,27.15
abr/2022,27.23
mai/2022,27.15
jun/2022,27.43
jul/2022,27.64
ago/2022,27.42
set/2022,27.10
out/2022,27.20
nov/2022,27.65
dez/2022,28.68
jan/2023,29.05
fev/2023,28.96
mar/2023,28.58
abr/2023,28.46
mai/2023,28.08
jun/2023,26.81
jul/2023,26.06
ago/2023,26.18
set/2023,25.95
out/2023,26.19
nov/2023,25.98
dez/2023,25.52
jan/2024,26.07
fev/2024,25.85
mar/2024,25.43
abr/2024,25.44
mai/2024,25.54
jun/2024,25.52
jul/2024,25.45
ago/2024,25.72
set/2024,25.51
out/2024,25.90
nov/2024,26.39
dez/2024,27.51
jan/2025,29.52
fev/2025,29.14
mar/2025,28.59
abr/2025,28.06
mai/2025,27.61
jun/2025,27.59
jul/2025,27.29
ago/2025,27.34
set/2025,27.30
out/2025,27.43
nov/2025,27.02
dez/2025,26.44
jan/2026,27.72
fev/2026,27.28
mar/2026,26.60
abr/2026,26.64
mai/2026,26.31
