data,value
jun/2000,0
jul/2000,0
ago/2000,0
set/2000,0
out/2000,0
nov/2000,0
dez/2000,0
jan/2001,0
fev/2001,0
mar/2001,0
abr/2001,0
mai/2001,0
jun/2001,0
jul/2001,0
ago/2001,0
set/2001,0
out/2001,0
nov/2001,0
dez/2001,0
jan/2002,0
fev/2002,0
mar/2002,0
abr/2002,0
mai/2002,0
jun/2002,0
jul/2002,0
ago/2002,0
set/2002,0
out/2002,0
nov/2002,0
dez/2002,0
jan/2003,0
fev/2003,0
mar/2003,0
abr/2003,0
mai/2003,0
jun/2003,0
jul/2003,0
ago/2003,0
set/2003,0
out/2003,0
nov/2003,0
dez/2003,0
jan/2004,0
fev/2004,0
mar/2004,0
abr/2004,0
mai/2004,0
jun/2004,0
jul/2004,0
ago/2004,0
set/2004,0
out/2004,0
nov/2004,0
dez/2004,0
jan/2005,0
fev/2005,0
mar/2005,0
abr/2005,0
mai/2005,0
jun/2005,0
jul/2005,0
ago/2005,0
set/2005,0
out/2005,0
nov/2005,0
dez/2005,0
jan/2006,0
fev/2006,0
mar/2006,0
abr/2006,0
mai/2006,0
jun/2006,0
jul/2006,0
ago/2006,0
set/2006,0
out/2006,0
nov/2006,0
dez/2006,0
jan/2007,0
fev/2007,0
mar/2007,66976
abr/2007,68285
mai/2007,69855
jun/2007,71053
jul/2007,72197
ago/2007,74187
set/2007,76126
out/2007,78019
nov/2007,79542
dez/2007,81481
jan/2008,82714
fev/2008,83406
mar/2008,83658
abr/2008,83852
mai/2008,84109
jun/2008,83919
jul/2008,83931
ago/2008,83554
set/2008,83335
out/2008,85170
nov/2008,83354
dez/2008,82433
jan/2009,81626
fev/2009,81504
mar/2009,81440
abr/2009,81235
mai/2009,81777
jun/2009,83220
jul/2009,84227
ago/2009,85325
set/2009,87955
out/2009,90136
nov/2009,91852
dez/2009,94133
jan/2010,95674
fev/2010,97983
mar/2010,101942
abr/2010,105225
mai/2010,108254
jun/2010,111228
jul/2010,117608
ago/2010,120182
set/2010,125515
out/2010,130181
nov/2010,136293
dez/2010,140339
jan/2011,142917
fev/2011,146799
mar/2011,149594
abr/2011,152917
mai/2011,156296
jun/2011,159586
jul/2011,162943
ago/2011,166586
set/2011,169960
out/2011,171971
nov/2011,174597
dez/2011,177728
jan/2012,180138
fev/2012,181390
mar/2012,182764
abr/2012,183486
mai/2012,184581
jun/2012,186890
jul/2012,187944
ago/2012,190880
set/2012,190168
out/2012,190420
nov/2012,190777
dez/2012,193216
jan/2013,193474
fev/2013,193840
mar/2013,192795
abr/2013,193076
mai/2013,193211
jun/2013,193773
jul/2013,193946
ago/2013,193689
set/2013,193105
out/2013,193030
nov/2013,193082
dez/2013,192797
jan/2014,193009
fev/2014,191845
mar/2014,189956
abr/2014,188987
mai/2014,188062
jun/2014,186543
jul/2014,185282
ago/2014,184581
set/2014,183918
out/2014,183601
nov/2014,183564
dez/2014,184141
jan/2015,183827
fev/2015,181852
mar/2015,179642
abr/2015,177576
mai/2015,175475
jun/2015,172941
jul/2015,171005
ago/2015,168621
set/2015,166845
out/2015,164938
nov/2015,163073
dez/2015,161116
jan/2016,159957
fev/2016,157328
mar/2016,155467
abr/2016,152926
mai/2016,151019
jun/2016,149043
jul/2016,147767
ago/2016,146405
set/2016,145387
out/2016,143938
nov/2016,143553
dez/2016,143590
jan/2017,143661
fev/2017,143710
mar/2017,143032
abr/2017,142676
mai/2017,142535
jun/2017,142786
jul/2017,143061
ago/2017,144210
set/2017,145043
out/2017,146134
nov/2017,147899
dez/2017,149869
jan/2018,152349
fev/2018,152193
mar/2018,154022
abr/2018,155556
mai/2018,156850
jun/2018,157675
jul/2018,158832
ago/2018,161170
set/2018,162820
out/2018,164856
nov/2018,167579
dez/2018,170287
jan/2019,172914
fev/2019,175044
mar/2019,176740
abr/2019,179073
mai/2019,181727
jun/2019,184080
jul/2019,185810
ago/2019,189657
set/2019,192489
out/2019,196124
nov/2019,199841
dez/2019,203586
jan/2020,206975
fev/2020,209001
mar/2020,209310
abr/2020,205933
mai/2020,204541
jun/2020,204654
jul/2020,205769
ago/2020,206750
set/2020,209224
out/2020,212218
nov/2020,216058
dez/2020,220279
jan/2021,222021
fev/2021,223984
mar/2021,224298
abr/2021,225432
mai/2021,226901
jun/2021,229134
jul/2021,229779
ago/2021,232838
set/2021,235428
out/2021,238182
nov/2021,238838
dez/2021,241240
jan/2022,242464
fev/2022,244071
mar/2022,244946
abr/2022,245439
mai/2022,246705
jun/2022,247837
jul/2022,248639
ago/2022,250965
set/2022,252682
out/2022,254314
nov/2022,256508
dez/2022,258449
jan/2023,260332
fev/2023,260651
mar/2023,262902
abr/2023,264487
mai/2023,266897
jun/2023,268837
jul/2023,270976
ago/2023,274930
set/2023,278054
out/2023,281688
nov/2023,282913
dez/2023,289405
jan/2024,293747
fev/2024,297222
mar/2024,301801
abr/2024,306769
mai/2024,311604
jun/2024,317386
jul/2024,321147
ago/2024,327580
set/2024,333415
out/2024,340331
nov/2024,345795
dez/2024,343320
jan/2025,350514
fev/2025,351604
mar/2025,354987
abr/2025,358987
mai/2025,363602
jun/2025,366882
jul/2025,371209
ago/2025,374642
set/2025,379850
out/2025,385267
nov/2025,394415
dez/2025,397953
jan/2026,403296
fev/2026,408416
mar/2026,411626
abr/2026,414881
mai/2026,412546
