data,value
jun/2000,0
jul/2000,0
ago/2000,0
set/2000,0
out/2000,0
nov/2000,0
dez/2000,0
jan/2001,0
fev/2001,0
mar/2001,0
abr/2001,0
mai/2001,0
jun/2001,0
jul/2001,0
ago/2001,0
set/2001,0
out/2001,0
nov/2001,0
dez/2001,0
jan/2002,0
fev/2002,0
mar/2002,0
abr/2002,0
mai/2002,0
jun/2002,0
jul/2002,0
ago/2002,0
set/2002,0
out/2002,0
nov/2002,0
dez/2002,0
jan/2003,0
fev/2003,0
mar/2003,0
abr/2003,0
mai/2003,0
jun/2003,0
jul/2003,0
ago/2003,0
set/2003,0
out/2003,0
nov/2003,0
dez/2003,0
jan/2004,0
fev/2004,0
mar/2004,0
abr/2004,0
mai/2004,0
jun/2004,0
jul/2004,0
ago/2004,0
set/2004,0
out/2004,0
nov/2004,0
dez/2004,0
jan/2005,0
fev/2005,0
mar/2005,0
abr/2005,0
mai/2005,0
jun/2005,0
jul/2005,0
ago/2005,0
set/2005,0
out/2005,0
nov/2005,0
dez/2005,0
jan/2006,0
fev/2006,0
mar/2006,0
abr/2006,0
mai/2006,0
jun/2006,0
jul/2006,0
ago/2006,0
set/2006,0
out/2006,0
nov/2006,0
dez/2006,0
jan/2007,0
fev/2007,0
mar/2007,66976
abr/2007,68285
mai/2007,69855
jun/2007,71053
jul/2007,72197
ago/2007,74187
set/2007,76126
out/2007,78019
nov/2007,79542
dez/2007,81481
jan/2008,82714
fev/2008,83406
mar/2008,83658
abr/2008,83852
mai/2008,84109
jun/2008,83919
jul/2008,83931
ago/2008,83554
set/2008,83335
